Compound,n_observations,df_group,F_group,R2_group,p_group,df_temperature,F_temperature,R2_temperature,p_temperature,df_group_temp,F_group_temp,R2_group_temp,p_group_temp,ran_permanova,note,p_group_FDR,p_temperature_FDR,p_group_temp_FDR
Homocitrulline,29,1,3.6475715069966803,0.12052418430848025,0.009,2,0.964112225127499,0.06371298782899032,0.478,2,0.9093887247290305,0.06053542156506265,0.524,TRUE,NA,0.009774193548387095,0.6352368421052631,0.8970169491525425
Hydroxyoctanoic acid,47,2,14.119703812580372,0.38939111756560413,0.001,2,1.0132292051644922,0.0279426861771407,0.423,4,0.6592893984027973,0.0375830921636097,0.741,TRUE,NA,0.0011477272727272727,0.6017323943661972,0.9426666666666667
Hydroxyphenyllactic acid,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
Hydroxyproline,47,2,2.1602870772812808,0.09155536975143877,0.069,2,0.4397770775668995,0.01863824181900713,0.775,4,0.5133408394720039,0.04562663760741572,0.861,TRUE,NA,0.0703939393939394,0.8227291666666666,0.9589569892473118
Hypoxanthine,46,2,9.850985442377356,0.307671209800927,0.001,2,1.2294648533668977,0.038399299344799756,0.337,4,2.0160268423773626,0.11457413089716902,0.041,TRUE,NA,0.0011477272727272727,0.5157121212121213,0.18004347826086958
Inositol,47,2,7.751239228331005,0.2040900624566713,0.001,2,8.747449885064375,0.23032028051130016,0.001,4,5.526481515138214,0.20335807996891897,0.002,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.0404
Isoleucine,47,2,36.394419443789566,0.5724746207795418,0.001,2,6.059149596542769,0.09530882537870086,0.002,4,3.4824384151489407,0.08860697508953354,0.006,TRUE,NA,0.0011477272727272727,0.011222222222222222,0.0606
L-arginino-succinate,45,2,14.429911487877673,0.4048785452623307,0.001,2,1.5033948230149485,0.0421826779331643,0.204,4,2.3921174973583605,0.11783359953276355,0.026,TRUE,NA,0.0011477272727272727,0.38875471698113206,0.1313
Lactate,47,2,18.588465800675984,0.44258933417398394,0.001,2,2.236721814435736,0.053256101347941114,0.059,4,3.120843596389329,0.12364037430968247,0.005,TRUE,NA,0.0011477272727272727,0.16574358974358974,0.0606
Leucine,47,2,15.131153746800338,0.3455311000928692,0.001,2,7.482581867063688,0.1708702976207745,0.001,4,2.8342428823493186,0.11019425725026874,0.003,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.050499999999999996
Malate,47,2,12.294280586184618,0.35858710774041236,0.001,2,1.3134338846876301,0.038308907513274405,0.252,4,0.8746107262235255,0.05163614771724537,0.505,TRUE,NA,0.0011477272727272727,0.43310169491525424,0.8846206896551725
Mannose-6-phosphate,47,2,57.07080675392322,0.7012988494361032,0.001,2,3.4693056632431745,0.04263160463922024,0.012,4,0.5164062206829954,0.01330417488950824,0.825,TRUE,NA,0.0011477272727272727,0.052695652173913046,0.9468749999999999
Methionine sulfoxide,47,2,43.775654056053526,0.6683454469256948,0.001,2,0.4886713183373645,0.00746079659337015,0.764,4,1.556948099017771,0.04514675180914027,0.161,TRUE,NA,0.0011477272727272727,0.8227291666666666,0.478264705882353
Montiporic Acid A,42,2,5.385960885216162,0.2181200213981872,0.001,2,0.79010649541051,0.03199764152740788,0.624,4,1.6214413570365143,0.12306221881435125,0.099,TRUE,NA,0.0011477272727272727,0.7514880952380952,0.3571071428571429
Montiporic Acid B,44,2,6.831388191696026,0.23764607814616043,0.001,2,2.152154005368313,0.07486779327868243,0.053,4,0.8113315427146438,0.05756205380967125,0.648,TRUE,NA,0.0011477272727272727,0.1622121212121212,0.9426666666666667
Montiporic Acid C,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
Montiporic Acid D,30,1,8.2819878872763,0.22700956979230427,0.001,2,0.8719448642261667,0.04780007679428949,0.477,2,1.750577458759562,0.09072841371138132,0.146,TRUE,NA,0.0011477272727272727,0.6352368421052631,0.46081249999999996
N-Acetylaspartate,47,2,12.643920755950527,0.3396077524847751,0.001,2,3.686435484291826,0.09901533659258951,0.005,4,4.758009620639054,0.18822683404681836,0.001,TRUE,NA,0.0011477272727272727,0.025249999999999998,0.02525
N-Methyl-D-aspartic acid,47,2,34.08772286478218,0.6092387191019221,0.001,2,1.1112545242635976,0.019861088569751145,0.345,4,0.9381642637500658,0.0337336674782565,0.468,TRUE,NA,0.0011477272727272727,0.5200746268656715,0.8594181818181819
Phenyllactic acid,47,2,3.3712689793710267,0.133200537436781,0.006,2,0.9443621367438617,0.03731222424521512,0.455,4,0.67969024253553,0.05539981821928606,0.774,TRUE,NA,0.006586956521739131,0.6223783783783784,0.9465813953488373
Pyruvate,47,2,19.269942669635505,0.4595498506468191,0.001,2,1.3841217883164088,0.033008554929439514,0.266,4,1.0347992738466965,0.04919277833934228,0.426,TRUE,NA,0.0011477272727272727,0.4333225806451613,0.8137169811320755
Ribose phosphate,40,2,8.848363227113387,0.32629634147100633,0.001,2,0.6602451652219594,0.02434750657903623,0.639,4,0.23208097122564308,0.01876336449103609,0.982,TRUE,NA,0.0011477272727272727,0.7592823529411765,0.99182
Sorbitol,47,2,2.775834456355544,0.10830317067680184,0.043,2,1.652815555381732,0.0644869742797273,0.176,4,1.5255178265008849,0.11336661904427188,0.169,TRUE,NA,0.04431632653061224,0.3627755102040816,0.48255555555555546
Succinate,47,2,94.09958160272528,0.8154416378775257,0.001,2,0.08231872358822614,7.133518943173106e-4,0.97,4,1.0480368257539114,0.01808128915976063,0.39,TRUE,NA,0.0011477272727272727,0.97,0.7878000000000001
Threonic acid,47,2,19.562590987784944,0.4745787917021589,0.001,2,0.6492267210961583,0.015749919477995297,0.625,4,2.3586093186581185,0.10132660572352775,0.028,TRUE,NA,0.0011477272727272727,0.7514880952380952,0.13466666666666666
Valine,47,2,6.4209585623851515,0.15380883471533585,0.001,2,13.367131654414957,0.32019875588300345,0.001,4,0.7037728302016703,0.03469544201202005,0.684,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.9426666666666667
Xanthine,47,2,11.651268714906973,0.3323244225243322,0.001,2,2.219480650433508,0.06330534841373572,0.063,4,2.91530444507124,0.14064842590834148,0.014,TRUE,NA,0.0011477272727272727,0.16574358974358974,0.0831764705882353
